state_gid,state_name,name,station_id,lattitude,longitude,predictions
17,Maine,"PETTEGROVE POINT, DOCHET ISLAND",8410834,+45.1284,-67.1447,Harmonic
17,Maine,EASTPORT,8410140,+44.9046,-66.9829,Harmonic
17,Maine,"GARNET POINT, PENNAMQUAN RIVER",8410715,+44.9233,-67.1300,Harmonic
17,Maine,COFFINS POINT,8410714,+44.8700,-67.1083,Harmonic
17,Maine,Birch Islands,8410875,+44.8750,-67.1583,Subordinate
17,Maine,"GRAVELLY POINT, WHITING BAY",8410864,+44.8233,-67.1517,Harmonic
17,Maine,CUTLER FARRIS WHARF,8411060,+44.6567,-67.2100,Harmonic
17,Maine,CUTLER NAVAL BASE,8411250,+44.6417,-67.2967,Harmonic
17,Maine,"Stone Island, Machias Bay",8411411,+44.6033,-67.3683,Subordinate
17,Maine,"Machiasport, Machias River",8411467,+44.6983,-67.3933,Subordinate
17,Maine,"Shoppee Point, Englishman Bay",8411696,+44.6150,-67.4967,Subordinate
17,Maine,Steele Harbor Island,8411801,+44.4933,-67.5433,Subordinate
17,Maine,MILBRIDGE,8412581,+44.5400,-67.8750,Harmonic
17,Maine,"Green Island, Petit Manan Bar",8412568,+44.3717,-67.8700,Subordinate
17,Maine,Prospect Harbor,8412932,+44.4000,-68.0217,Subordinate
17,Maine,BAR HARBOR,8413320,+44.3917,-68.2050,Harmonic
17,Maine,Southwest Harbor,8413564,+44.2750,-68.3133,Subordinate
17,Maine,Bass Harbor,8413651,+44.2417,-68.3533,Subordinate
17,Maine,"Winter Harbor, Frenchman Bay",8413079,+44.3883,-68.0867,Subordinate
17,Maine,Blue Hill Harbor,8414112,+44.4083,-68.5633,Subordinate
17,Maine,Mackerel Cove,8413825,+44.1700,-68.4350,Subordinate
17,Maine,ELLSWORTH,8413801,+44.5350,-68.4217,Harmonic
17,Maine,"Burnt Coat Harbor, Swans Island",8413857,+44.1450,-68.4500,Subordinate
17,Maine,Center Harbor,8414168,+44.2633,-68.5867,Subordinate
