date,day,time,feet,centimeters,tide
2014/01/01,Wed,04:53 AM,-0.1,-3,L
2014/01/01,Wed,10:46 AM,12.2,372,H
2014/01/01,Wed,05:30 PM,-1.5,-46,L
2014/01/01,Wed,11:20 PM,10.7,326,H
2014/01/02,Thu,05:45 AM,-0.5,-15,L
2014/01/02,Thu,11:38 AM,12.5,381,H
2014/01/02,Thu,06:20 PM,-1.7,-52,L
2014/01/03,Fri,12:11 AM,11.0,335,H
2014/01/03,Fri,06:37 AM,-0.7,-21,L
2014/01/03,Fri,12:29 PM,12.5,381,H
2014/01/03,Fri,07:11 PM,-1.8,-55,L
2014/01/04,Sat,01:03 AM,11.2,341,H
2014/01/04,Sat,07:30 AM,-0.8,-24,L
2014/01/04,Sat,01:22 PM,12.3,375,H
2014/01/04,Sat,08:02 PM,-1.7,-52,L
2014/01/05,Sun,01:55 AM,11.3,344,H
2014/01/05,Sun,08:24 AM,-0.7,-21,L
2014/01/05,Sun,02:16 PM,11.9,363,H
2014/01/05,Sun,08:54 PM,-1.4,-43,L
2014/01/06,Mon,02:49 AM,11.2,341,H
2014/01/06,Mon,09:20 AM,-0.6,-18,L
2014/01/06,Mon,03:11 PM,11.3,344,H
2014/01/06,Mon,09:47 PM,-0.9,-27,L
2014/01/07,Tue,03:43 AM,11.0,335,H
2014/01/07,Tue,10:16 AM,-0.3,-9,L
2014/01/07,Tue,04:07 PM,10.6,323,H
2014/01/07,Tue,10:41 PM,-0.4,-12,L
2014/01/08,Wed,04:39 AM,10.8,329,H
2014/01/08,Wed,11:13 AM,0.0,0,L
2014/01/08,Wed,05:04 PM,9.9,302,H
2014/01/08,Wed,11:36 PM,0.1,3,L
2014/01/09,Thu,05:36 AM,10.5,320,H
2014/01/09,Thu,12:12 PM,0.3,9,L
2014/01/09,Thu,06:06 PM,9.4,287,H
2014/01/10,Fri,12:33 AM,0.5,15,L
2014/01/10,Fri,06:35 AM,10.3,314,H
2014/01/10,Fri,01:11 PM,0.4,12,L
2014/01/10,Fri,07:09 PM,9.0,274,H
2014/01/11,Sat,01:28 AM,0.9,27,L
2014/01/11,Sat,07:34 AM,10.1,308,H
2014/01/11,Sat,02:07 PM,0.5,15,L
2014/01/11,Sat,08:09 PM,8.7,265,H
2014/01/12,Sun,02:21 AM,1.1,34,L
2014/01/12,Sun,08:27 AM,10.0,305,H
2014/01/12,Sun,02:59 PM,0.5,15,L
2014/01/12,Sun,09:03 PM,8.6,262,H
2014/01/13,Mon,03:12 AM,1.2,37,L
2014/01/13,Mon,09:16 AM,9.9,302,H
2014/01/13,Mon,03:49 PM,0.5,15,L
2014/01/13,Mon,09:51 PM,8.6,262,H
2014/01/14,Tue,04:00 AM,1.3,40,L
2014/01/14,Tue,10:00 AM,9.9,302,H
2014/01/14,Tue,04:35 PM,0.5,15,L
2014/01/14,Tue,10:33 PM,8.6,262,H
2014/01/15,Wed,04:46 AM,1.3,40,L
2014/01/15,Wed,10:41 AM,10.0,305,H
2014/01/15,Wed,05:19 PM,0.4,12,L
2014/01/15,Wed,11:11 PM,8.8,268,H
2014/01/16,Thu,05:30 AM,1.2,37,L
2014/01/16,Thu,11:19 AM,10.1,308,H
2014/01/16,Thu,06:00 PM,0.4,12,L
2014/01/16,Thu,11:47 PM,9.0,274,H
2014/01/17,Fri,06:12 AM,1.2,37,L
2014/01/17,Fri,11:58 AM,10.2,311,H
2014/01/17,Fri,06:40 PM,0.4,12,L
2014/01/18,Sat,12:24 AM,9.2,280,H
2014/01/18,Sat,06:53 AM,1.2,37,L
2014/01/18,Sat,12:37 PM,10.2,311,H
2014/01/18,Sat,07:21 PM,0.4,12,L
2014/01/19,Sun,01:03 AM,9.4,287,H
2014/01/19,Sun,07:36 AM,1.1,34,L
2014/01/19,Sun,01:18 PM,10.2,311,H
2014/01/19,Sun,08:03 PM,0.5,15,L
2014/01/20,Mon,01:45 AM,9.6,293,H
2014/01/20,Mon,08:20 AM,1.1,34,L
2014/01/20,Mon,02:01 PM,10.1,308,H
2014/01/20,Mon,08:45 PM,0.6,18,L
2014/01/21,Tue,02:28 AM,9.7,296,H
2014/01/21,Tue,09:06 AM,1.2,37,L
