time,feet,centimeters,tide
2014-12-31 02:11:00 UTC,-0.3,-9,L
2014-12-31 08:47:00 UTC,3.5,107,H
2014-12-31 15:15:00 UTC,0.1,3,L
2014-12-31 21:03:00 UTC,2.6,79,H
2015-01-01 03:11:00 UTC,-0.3,-9,L
2015-01-01 09:46:00 UTC,3.6,110,H
2015-01-01 16:15:00 UTC,0.0,0,L
2015-01-01 22:02:00 UTC,2.7,82,H
2015-01-02 04:04:00 UTC,-0.3,-9,L
2015-01-02 10:38:00 UTC,3.7,113,H
2015-01-02 17:08:00 UTC,-0.1,-3,L
2015-01-02 22:55:00 UTC,2.7,82,H
2015-01-03 04:54:00 UTC,-0.4,-12,L
2015-01-03 11:25:00 UTC,3.7,113,H
2015-01-03 17:55:00 UTC,-0.2,-6,L
2015-01-03 23:42:00 UTC,2.7,82,H
2015-01-04 05:40:00 UTC,-0.4,-12,L
2015-01-04 12:09:00 UTC,3.7,113,H
2015-01-04 18:38:00 UTC,-0.2,-6,L
2015-01-05 00:27:00 UTC,2.7,82,H
2015-01-05 06:23:00 UTC,-0.3,-9,L
2015-01-05 12:50:00 UTC,3.7,113,H
2015-01-05 19:19:00 UTC,-0.2,-6,L
2015-01-06 01:08:00 UTC,2.7,82,H
2015-01-06 07:04:00 UTC,-0.3,-9,L
2015-01-06 13:29:00 UTC,3.6,110,H
2015-01-06 19:57:00 UTC,-0.2,-6,L
2015-01-07 01:48:00 UTC,2.7,82,H
2015-01-07 07:44:00 UTC,-0.2,-6,L
2015-01-07 14:07:00 UTC,3.4,104,H
2015-01-07 20:34:00 UTC,-0.1,-3,L
2015-01-08 02:27:00 UTC,2.7,82,H
2015-01-08 08:23:00 UTC,-0.1,-3,L
2015-01-08 14:44:00 UTC,3.3,101,H
2015-01-08 21:10:00 UTC,-0.1,-3,L
2015-01-09 03:07:00 UTC,2.6,79,H
2015-01-09 09:04:00 UTC,0.1,3,L
2015-01-09 15:21:00 UTC,3.1,94,H
2015-01-09 21:46:00 UTC,0.0,0,L
2015-01-10 03:47:00 UTC,2.6,79,H
2015-01-10 09:47:00 UTC,0.2,6,L
2015-01-10 15:59:00 UTC,2.9,88,H
2015-01-10 22:22:00 UTC,0.1,3,L
2015-01-11 04:31:00 UTC,2.6,79,H
2015-01-11 10:33:00 UTC,0.4,12,L
2015-01-11 16:39:00 UTC,2.7,82,H
2015-01-11 23:01:00 UTC,0.2,6,L
2015-01-12 05:17:00 UTC,2.6,79,H
2015-01-12 11:24:00 UTC,0.5,15,L
2015-01-12 17:24:00 UTC,2.5,76,H
2015-01-12 23:44:00 UTC,0.2,6,L
2015-01-13 06:09:00 UTC,2.6,79,H
2015-01-13 12:22:00 UTC,0.6,18,L
2015-01-13 18:14:00 UTC,2.4,73,H
2015-01-14 00:31:00 UTC,0.2,6,L
2015-01-14 07:04:00 UTC,2.8,85,H
2015-01-14 13:25:00 UTC,0.6,18,L
2015-01-14 19:10:00 UTC,2.3,70,H
2015-01-15 01:22:00 UTC,0.1,3,L
2015-01-15 08:01:00 UTC,2.9,88,H
2015-01-15 14:27:00 UTC,0.4,12,L
2015-01-15 20:09:00 UTC,2.3,70,H
2015-01-16 02:17:00 UTC,0.0,0,L
2015-01-16 08:56:00 UTC,3.2,98,H
2015-01-16 15:27:00 UTC,0.2,6,L
2015-01-16 21:08:00 UTC,2.4,73,H
2015-01-17 03:12:00 UTC,-0.2,-6,L
