date,day,time,feet,centimeters,tide
2013/12/31,Tue,05:50 AM,-0.5,-15,L
2013/12/31,Tue,11:26 AM,3.9,119,H
2013/12/31,Tue,06:39 PM,-0.4,-12,L
2013/12/31,Tue,11:40 PM,3.4,104,H
2014/01/01,Wed,06:46 AM,-0.7,-21,L
2014/01/01,Wed,12:21 PM,4.1,125,H
2014/01/01,Wed,07:31 PM,-0.6,-18,L
2014/01/02,Thu,12:36 AM,3.5,107,H
2014/01/02,Thu,07:39 AM,-0.8,-24,L
2014/01/02,Thu,01:13 PM,4.1,125,H
2014/01/02,Thu,08:21 PM,-0.6,-18,L
2014/01/03,Fri,01:31 AM,3.6,110,H
2014/01/03,Fri,08:30 AM,-0.8,-24,L
2014/01/03,Fri,02:06 PM,4.1,125,H
2014/01/03,Fri,09:10 PM,-0.6,-18,L
2014/01/04,Sat,02:25 AM,3.6,110,H
2014/01/04,Sat,09:23 AM,-0.6,-18,L
2014/01/04,Sat,02:57 PM,3.9,119,H
2014/01/04,Sat,10:00 PM,-0.6,-18,L
2014/01/05,Sun,03:19 AM,3.6,110,H
2014/01/05,Sun,10:17 AM,-0.4,-12,L
2014/01/05,Sun,03:48 PM,3.7,113,H
2014/01/05,Sun,10:53 PM,-0.5,-15,L
2014/01/06,Mon,04:13 AM,3.5,107,H
2014/01/06,Mon,11:15 AM,-0.2,-6,L
2014/01/06,Mon,04:40 PM,3.5,107,H
2014/01/06,Mon,11:48 PM,-0.3,-9,L
2014/01/07,Tue,05:08 AM,3.4,104,H
2014/01/07,Tue,12:17 PM,0.0,0,L
2014/01/07,Tue,05:33 PM,3.3,101,H
2014/01/08,Wed,12:44 AM,-0.2,-6,L
2014/01/08,Wed,06:05 AM,3.3,101,H
2014/01/08,Wed,01:20 PM,0.1,3,L
2014/01/08,Wed,06:28 PM,3.1,94,H
2014/01/09,Thu,01:41 AM,-0.1,-3,L
2014/01/09,Thu,07:04 AM,3.2,98,H
2014/01/09,Thu,02:23 PM,0.2,6,L
2014/01/09,Thu,07:26 PM,2.9,88,H
2014/01/10,Fri,02:37 AM,0.0,0,L
2014/01/10,Fri,08:05 AM,3.2,98,H
2014/01/10,Fri,03:21 PM,0.3,9,L
2014/01/10,Fri,08:25 PM,2.8,85,H
2014/01/11,Sat,03:30 AM,0.0,0,L
2014/01/11,Sat,09:02 AM,3.2,98,H
2014/01/11,Sat,04:17 PM,0.2,6,L
2014/01/11,Sat,09:20 PM,2.8,85,H
2014/01/12,Sun,04:22 AM,0.0,0,L
2014/01/12,Sun,09:54 AM,3.3,101,H
2014/01/12,Sun,05:08 PM,0.2,6,L
2014/01/12,Sun,10:11 PM,2.8,85,H
2014/01/13,Mon,05:11 AM,0.0,0,L
2014/01/13,Mon,10:41 AM,3.3,101,H
2014/01/13,Mon,05:56 PM,0.1,3,L
2014/01/13,Mon,10:57 PM,2.9,88,H
2014/01/14,Tue,05:58 AM,-0.1,-3,L
2014/01/14,Tue,11:24 AM,3.4,104,H
2014/01/14,Tue,06:39 PM,0.1,3,L
2014/01/14,Tue,11:40 PM,2.9,88,H
2014/01/15,Wed,06:41 AM,-0.1,-3,L
2014/01/15,Wed,12:05 PM,3.4,104,H
2014/01/15,Wed,07:18 PM,0.0,0,L
2014/01/16,Thu,12:21 AM,3.0,91,H
2014/01/16,Thu,07:21 AM,-0.1,-3,L
2014/01/16,Thu,12:43 PM,3.4,104,H
2014/01/16,Thu,07:55 PM,0.0,0,L
2014/01/17,Fri,01:01 AM,3.0,91,H
2014/01/17,Fri,07:59 AM,-0.1,-3,L
2014/01/17,Fri,01:20 PM,3.4,104,H
2014/01/17,Fri,08:29 PM,0.0,0,L
2014/01/18,Sat,01:39 AM,3.0,91,H
2014/01/18,Sat,08:36 AM,-0.1,-3,L
2014/01/18,Sat,01:56 PM,3.3,101,H
2014/01/18,Sat,09:02 PM,0.0,0,L
2014/01/19,Sun,02:16 AM,3.0,91,H
2014/01/19,Sun,09:12 AM,0.0,0,L
2014/01/19,Sun,02:32 PM,3.2,98,H
2014/01/19,Sun,09:36 PM,0.0,0,L
2014/01/20,Mon,02:53 AM,2.9,88,H
2014/01/20,Mon,09:50 AM,0.1,3,L
2014/01/20,Mon,03:08 PM,3.1,94,H
2014/01/20,Mon,10:11 PM,0.0,0,L
2014/01/21,Tue,03:31 AM,2.9,88,H
2014/01/21,Tue,10:31 AM,0.2,6,L
2014/01/21,Tue,03:46 PM,3.0,91,H
2014/01/21,Tue,10:51 PM,0.0,0,L
2014/01/22,Wed,04:12 AM,3.0,91,H
2014/01/22,Wed,11:20 AM,0.2,6,L
2014/01/22,Wed,04:28 PM,3.0,91,H
2014/01/22,Wed,11:36 PM,0.1,3,L
2014/01/23,Thu,04:58 AM,3.0,91,H
2014/01/23,Thu,12:16 PM,0.3,9,L
2014/01/23,Thu,05:15 PM,2.9,88,H
2014/01/24,Fri,12:30 AM,0.0,0,L
2014/01/24,Fri,05:51 AM,3.0,91,H
2014/01/24,Fri,01:18 PM,0.3,9,L
2014/01/24,Fri,06:09 PM,2.8,85,H
2014/01/25,Sat,01:28 AM,0.0,0,L
2014/01/25,Sat,06:53 AM,3.1,94,H
2014/01/25,Sat,02:22 PM,0.2,6,L
2014/01/25,Sat,07:11 PM,2.8,85,H
2014/01/26,Sun,02:30 AM,-0.1,-3,L
2014/01/26,Sun,08:02 AM,3.2,98,H
2014/01/26,Sun,03:24 PM,0.1,3,L
2014/01/26,Sun,08:19 PM,2.9,88,H
2014/01/27,Mon,03:32 AM,-0.3,-9,L
2014/01/27,Mon,09:10 AM,3.4,104,H
2014/01/27,Mon,04:25 PM,-0.1,-3,L
2014/01/27,Mon,09:25 PM,3.0,91,H
2014/01/28,Tue,04:34 AM,-0.4,-12,L
2014/01/28,Tue,10:12 AM,3.6,110,H
2014/01/28,Tue,05:24 PM,-0.3,-9,L
2014/01/28,Tue,10:27 PM,3.2,98,H
2014/01/29,Wed,05:33 AM,-0.6,-18,L
2014/01/29,Wed,11:10 AM,3.8,116,H
2014/01/29,Wed,06:19 PM,-0.5,-15,L
2014/01/29,Wed,11:25 PM,3.4,104,H
2014/01/30,Thu,06:30 AM,-0.8,-24,L
2014/01/30,Thu,12:04 PM,3.9,119,H
2014/01/30,Thu,07:11 PM,-0.7,-21,L
2014/01/31,Fri,12:20 AM,3.6,110,H
2014/01/31,Fri,07:24 AM,-0.9,-27,L
2014/01/31,Fri,12:56 PM,4.0,122,H
2014/01/31,Fri,08:01 PM,-0.8,-24,L
2014/02/01,Sat,01:14 AM,3.7,113,H
