time,feet,centimeters,tide
2013-12-30 23:59:00 UTC,1.6,49,H
2013-12-31 06:56:00 UTC,-0.4,-12,L
2013-12-31 13:35:00 UTC,0.8,24,H
2013-12-31 18:09:00 UTC,0.2,6,L
2014-01-01 00:52:00 UTC,1.6,49,H
2014-01-01 07:42:00 UTC,-0.5,-15,L
2014-01-01 14:20:00 UTC,0.9,27,H
2014-01-01 19:04:00 UTC,0.1,3,L
2014-01-02 01:44:00 UTC,1.7,52,H
2014-01-02 08:29:00 UTC,-0.4,-12,L
2014-01-02 15:04:00 UTC,0.9,27,H
2014-01-02 19:56:00 UTC,0.1,3,L
2014-01-03 02:36:00 UTC,1.6,49,H
2014-01-03 09:15:00 UTC,-0.4,-12,L
2014-01-03 15:47:00 UTC,1.0,30,H
2014-01-03 20:51:00 UTC,0.0,0,L
2014-01-04 03:28:00 UTC,1.5,46,H
2014-01-04 10:01:00 UTC,-0.3,-9,L
2014-01-04 16:31:00 UTC,1.0,30,H
2014-01-04 21:49:00 UTC,0.0,0,L
2014-01-05 04:22:00 UTC,1.4,43,H
2014-01-05 10:46:00 UTC,-0.2,-6,L
2014-01-05 17:17:00 UTC,1.1,34,H
2014-01-05 22:52:00 UTC,0.1,3,L
2014-01-06 05:18:00 UTC,1.2,37,H
2014-01-06 11:32:00 UTC,-0.1,-3,L
2014-01-06 18:05:00 UTC,1.1,34,H
2014-01-07 00:02:00 UTC,0.1,3,L
2014-01-07 06:21:00 UTC,1.0,30,H
2014-01-07 12:19:00 UTC,0.1,3,L
2014-01-07 18:58:00 UTC,1.1,34,H
2014-01-08 01:19:00 UTC,0.1,3,L
2014-01-08 07:34:00 UTC,0.8,24,H
2014-01-08 13:10:00 UTC,0.2,6,L
2014-01-08 19:55:00 UTC,1.1,34,H
2014-01-09 02:38:00 UTC,0.1,3,L
2014-01-09 09:00:00 UTC,0.7,21,H
2014-01-09 14:04:00 UTC,0.2,6,L
2014-01-09 20:55:00 UTC,1.2,37,H
2014-01-10 03:52:00 UTC,0.0,0,L
2014-01-10 10:24:00 UTC,0.6,18,H
2014-01-10 15:01:00 UTC,0.3,9,L
2014-01-10 21:55:00 UTC,1.2,37,H
2014-01-11 04:55:00 UTC,-0.1,-3,L
2014-01-11 11:31:00 UTC,0.6,18,H
2014-01-11 15:57:00 UTC,0.3,9,L
