time,feet,centimeters,tide
2014-12-31 00:43:00 UTC,3.2,98,H
2014-12-31 07:20:00 UTC,0.7,21,L
2014-12-31 13:08:00 UTC,2.6,79,H
2014-12-31 19:13:00 UTC,0.4,12,L
2015-01-01 01:47:00 UTC,3.6,110,H
2015-01-01 08:21:00 UTC,0.3,9,L
2015-01-01 14:10:00 UTC,2.8,85,H
2015-01-01 20:09:00 UTC,0.2,6,L
2015-01-02 02:33:00 UTC,3.9,119,H
2015-01-02 09:06:00 UTC,0.0,0,L
2015-01-02 14:56:00 UTC,3.0,91,H
2015-01-02 20:52:00 UTC,-0.1,-3,L
2015-01-03 03:12:00 UTC,4.2,128,H
2015-01-03 09:43:00 UTC,-0.3,-9,L
2015-01-03 15:34:00 UTC,3.2,98,H
2015-01-03 21:29:00 UTC,-0.3,-9,L
2015-01-04 03:47:00 UTC,4.4,134,H
2015-01-04 10:16:00 UTC,-0.5,-15,L
2015-01-04 16:08:00 UTC,3.4,104,H
2015-01-04 22:03:00 UTC,-0.4,-12,L
2015-01-05 04:19:00 UTC,4.5,137,H
2015-01-05 10:47:00 UTC,-0.6,-18,L
2015-01-05 16:40:00 UTC,3.5,107,H
2015-01-05 22:35:00 UTC,-0.5,-15,L
2015-01-06 04:50:00 UTC,4.5,137,H
2015-01-06 11:17:00 UTC,-0.7,-21,L
2015-01-06 17:10:00 UTC,3.5,107,H
2015-01-06 23:06:00 UTC,-0.4,-12,L
2015-01-07 05:20:00 UTC,4.4,134,H
2015-01-07 11:46:00 UTC,-0.6,-18,L
2015-01-07 17:40:00 UTC,3.5,107,H
2015-01-07 23:36:00 UTC,-0.3,-9,L
2015-01-08 05:49:00 UTC,4.3,131,H
2015-01-08 12:14:00 UTC,-0.5,-15,L
2015-01-08 18:10:00 UTC,3.4,104,H
2015-01-09 00:06:00 UTC,-0.2,-6,L
2015-01-09 06:17:00 UTC,4.1,125,H
2015-01-09 12:43:00 UTC,-0.3,-9,L
2015-01-09 18:41:00 UTC,3.3,101,H
2015-01-10 00:37:00 UTC,0.1,3,L
2015-01-10 06:47:00 UTC,3.8,116,H
2015-01-10 13:13:00 UTC,-0.1,-3,L
2015-01-10 19:14:00 UTC,3.1,94,H
2015-01-11 01:10:00 UTC,0.4,12,L
2015-01-11 07:18:00 UTC,3.4,104,H
2015-01-11 13:46:00 UTC,0.2,6,L
2015-01-11 19:52:00 UTC,2.9,88,H
2015-01-12 01:50:00 UTC,0.7,21,L
2015-01-12 07:54:00 UTC,3.1,94,H
2015-01-12 14:25:00 UTC,0.5,15,L
2015-01-12 20:43:00 UTC,2.7,82,H
2015-01-13 02:46:00 UTC,1.0,30,L
2015-01-13 08:44:00 UTC,2.7,82,H
2015-01-13 15:20:00 UTC,0.7,21,L
2015-01-13 21:58:00 UTC,2.6,79,H
2015-01-14 04:19:00 UTC,1.2,37,L
2015-01-14 10:09:00 UTC,2.3,70,H
2015-01-14 16:45:00 UTC,0.8,24,L
2015-01-14 23:39:00 UTC,2.8,85,H
2015-01-15 06:20:00 UTC,1.1,34,L
2015-01-15 12:06:00 UTC,2.3,70,H
2015-01-15 18:19:00 UTC,0.7,21,L
