date,day,time,feet,centimeters,tide
2013/12/31,Tue,03:14 AM,3.6,110,H
2013/12/31,Tue,09:06 AM,-0.4,-12,L
2013/12/31,Tue,03:32 PM,4.9,149,H
2013/12/31,Tue,09:59 PM,-0.7,-21,L
2014/01/01,Wed,03:59 AM,3.9,119,H
2014/01/01,Wed,09:52 AM,-0.7,-21,L
2014/01/01,Wed,04:16 PM,5.3,162,H
2014/01/01,Wed,10:41 PM,-1.0,-30,L
2014/01/02,Thu,04:43 AM,4.1,125,H
2014/01/02,Thu,10:35 AM,-0.8,-24,L
2014/01/02,Thu,04:58 PM,5.4,165,H
2014/01/02,Thu,11:23 PM,-1.1,-34,L
2014/01/03,Fri,05:25 AM,4.2,128,H
2014/01/03,Fri,11:18 AM,-0.8,-24,L
2014/01/03,Fri,05:39 PM,5.4,165,H
2014/01/04,Sat,12:03 AM,-1.0,-30,L
2014/01/04,Sat,06:06 AM,4.1,125,H
2014/01/04,Sat,12:00 PM,-0.6,-18,L
2014/01/04,Sat,06:20 PM,5.1,155,H
2014/01/05,Sun,12:44 AM,-0.8,-24,L
2014/01/05,Sun,06:49 AM,4.0,122,H
2014/01/05,Sun,12:42 PM,-0.3,-9,L
2014/01/05,Sun,07:01 PM,4.7,143,H
2014/01/06,Mon,01:25 AM,-0.5,-15,L
2014/01/06,Mon,07:33 AM,3.7,113,H
2014/01/06,Mon,01:27 PM,0.1,3,L
2014/01/06,Mon,07:43 PM,4.1,125,H
2014/01/07,Tue,02:08 AM,0.0,0,L
2014/01/07,Tue,08:21 AM,3.4,104,H
2014/01/07,Tue,02:18 PM,0.6,18,L
2014/01/07,Tue,08:28 PM,3.5,107,H
2014/01/08,Wed,02:55 AM,0.4,12,L
2014/01/08,Wed,09:20 AM,3.2,98,H
2014/01/08,Wed,03:23 PM,1.0,30,L
2014/01/08,Wed,09:25 PM,3.0,91,H
2014/01/09,Thu,03:55 AM,0.7,21,L
2014/01/09,Thu,10:41 AM,3.0,91,H
2014/01/09,Thu,05:03 PM,1.3,40,L
2014/01/09,Thu,10:53 PM,2.5,76,H
2014/01/10,Fri,05:18 AM,0.9,27,L
2014/01/10,Fri,12:19 PM,3.0,91,H
2014/01/10,Fri,07:00 PM,1.2,37,L
2014/01/11,Sat,12:44 AM,2.4,73,H
2014/01/11,Sat,06:45 AM,0.9,27,L
2014/01/11,Sat,01:34 PM,3.3,101,H
2014/01/11,Sat,08:13 PM,0.8,24,L
2014/01/12,Sun,02:01 AM,2.6,79,H
2014/01/12,Sun,07:50 AM,0.7,21,L
2014/01/12,Sun,02:25 PM,3.6,110,H
2014/01/12,Sun,08:58 PM,0.5,15,L
2014/01/13,Mon,02:50 AM,2.8,85,H
2014/01/13,Mon,08:36 AM,0.4,12,L
2014/01/13,Mon,03:04 PM,3.9,119,H
2014/01/13,Mon,09:32 PM,0.1,3,L
2014/01/14,Tue,03:26 AM,3.1,94,H
2014/01/14,Tue,09:14 AM,0.1,3,L
2014/01/14,Tue,03:37 PM,4.2,128,H
2014/01/14,Tue,10:02 PM,-0.2,-6,L
2014/01/15,Wed,03:58 AM,3.4,104,H
2014/01/15,Wed,09:47 AM,-0.1,-3,L
2014/01/15,Wed,04:08 PM,4.4,134,H
2014/01/15,Wed,10:30 PM,-0.4,-12,L
2014/01/16,Thu,04:28 AM,3.6,110,H
2014/01/16,Thu,10:19 AM,-0.3,-9,L
2014/01/16,Thu,04:38 PM,4.6,140,H
2014/01/16,Thu,10:58 PM,-0.5,-15,L
2014/01/17,Fri,04:57 AM,3.7,113,H
2014/01/17,Fri,10:49 AM,-0.4,-12,L
2014/01/17,Fri,05:06 PM,4.7,143,H
2014/01/17,Fri,11:25 PM,-0.6,-18,L
2014/01/18,Sat,05:25 AM,3.8,116,H
2014/01/18,Sat,11:18 AM,-0.4,-12,L
2014/01/18,Sat,05:34 PM,4.6,140,H
2014/01/18,Sat,11:52 PM,-0.6,-18,L
2014/01/19,Sun,05:53 AM,3.8,116,H
2014/01/19,Sun,11:46 AM,-0.3,-9,L
2014/01/19,Sun,06:01 PM,4.5,137,H
2014/01/20,Mon,12:19 AM,-0.5,-15,L
2014/01/20,Mon,06:22 AM,3.8,116,H
2014/01/20,Mon,12:15 PM,-0.2,-6,L
2014/01/20,Mon,06:29 PM,4.3,131,H
2014/01/21,Tue,12:46 AM,-0.3,-9,L
2014/01/21,Tue,06:51 AM,3.7,113,H
2014/01/21,Tue,12:46 PM,0.1,3,L
2014/01/21,Tue,06:58 PM,4.1,125,H
2014/01/22,Wed,01:16 AM,-0.1,-3,L
2014/01/22,Wed,07:25 AM,3.6,110,H
2014/01/22,Wed,01:22 PM,0.3,9,L
2014/01/22,Wed,07:31 PM,3.7,113,H
2014/01/23,Thu,01:50 AM,0.1,3,L
2014/01/23,Thu,08:06 AM,3.4,104,H
2014/01/23,Thu,02:06 PM,0.7,21,L
2014/01/23,Thu,08:12 PM,3.3,101,H
2014/01/24,Fri,02:33 AM,0.4,12,L
2014/01/24,Fri,09:02 AM,3.2,98,H
2014/01/24,Fri,03:12 PM,1.0,30,L
