time,feet,centimeters,tide
2014-12-31 02:31:00 UTC,0.7,21,L
2014-12-31 09:53:00 UTC,7.7,235,H
2014-12-31 13:37:00 UTC,5.6,171,L
2014-12-31 19:37:00 UTC,10.0,305,H
2015-01-01 03:21:00 UTC,0.1,3,L
2015-01-01 10:55:00 UTC,8.4,256,H
2015-01-01 14:51:00 UTC,6.0,183,L
2015-01-01 20:28:00 UTC,9.8,299,H
2015-01-02 04:03:00 UTC,-0.5,-15,L
2015-01-02 11:48:00 UTC,9.2,280,H
2015-01-02 15:59:00 UTC,6.5,198,L
2015-01-02 21:10:00 UTC,9.6,293,H
2015-01-03 04:41:00 UTC,-0.9,-27,L
2015-01-03 12:33:00 UTC,9.8,299,H
2015-01-03 16:59:00 UTC,6.6,201,L
2015-01-03 21:52:00 UTC,9.4,287,H
2015-01-04 05:18:00 UTC,-1.1,-34,L
2015-01-04 13:12:00 UTC,10.1,308,H
2015-01-04 17:51:00 UTC,6.6,201,L
2015-01-04 22:33:00 UTC,9.2,280,H
2015-01-05 05:53:00 UTC,-1.1,-34,L
2015-01-05 13:48:00 UTC,10.2,311,H
2015-01-05 18:39:00 UTC,6.5,198,L
2015-01-05 23:14:00 UTC,8.9,271,H
2015-01-06 06:29:00 UTC,-0.9,-27,L
2015-01-06 14:21:00 UTC,10.2,311,H
2015-01-06 19:24:00 UTC,6.3,192,L
2015-01-06 23:56:00 UTC,8.6,262,H
2015-01-07 07:05:00 UTC,-0.6,-18,L
2015-01-07 14:50:00 UTC,10.2,311,H
2015-01-07 20:10:00 UTC,6.0,183,L
2015-01-08 00:39:00 UTC,8.2,250,H
2015-01-08 07:41:00 UTC,-0.2,-6,L
2015-01-08 15:18:00 UTC,10.1,308,H
2015-01-08 20:59:00 UTC,5.6,171,L
2015-01-09 01:26:00 UTC,7.8,238,H
2015-01-09 08:18:00 UTC,0.4,12,L
2015-01-09 15:44:00 UTC,10.0,305,H
2015-01-09 21:49:00 UTC,5.1,155,L
2015-01-10 02:17:00 UTC,7.4,226,H
2015-01-10 08:56:00 UTC,1.2,37,L
2015-01-10 16:11:00 UTC,10.0,305,H
2015-01-10 22:42:00 UTC,4.6,140,L
2015-01-11 03:15:00 UTC,6.9,210,H
2015-01-11 09:33:00 UTC,2.1,64,L
2015-01-11 16:40:00 UTC,9.9,302,H
2015-01-11 23:35:00 UTC,3.9,119,L
2015-01-12 04:21:00 UTC,6.4,195,H
2015-01-12 10:11:00 UTC,3.1,94,L
2015-01-12 17:11:00 UTC,9.8,299,H
2015-01-13 00:26:00 UTC,3.2,98,L
2015-01-13 05:45:00 UTC,6.2,189,H
2015-01-13 10:54:00 UTC,4.1,125,L
2015-01-13 17:43:00 UTC,9.6,293,H
2015-01-14 01:14:00 UTC,2.5,76,L
2015-01-14 08:06:00 UTC,6.3,192,H
2015-01-14 11:49:00 UTC,5.1,155,L
2015-01-14 18:19:00 UTC,9.5,290,H
2015-01-15 01:59:00 UTC,1.6,49,L
2015-01-15 10:14:00 UTC,7.1,216,H
2015-01-15 13:01:00 UTC,6.0,183,L
2015-01-15 18:57:00 UTC,9.5,290,H
2015-01-16 02:42:00 UTC,0.7,21,L
2015-01-16 11:04:00 UTC,8.0,244,H
2015-01-16 14:16:00 UTC,6.5,198,L
2015-01-16 19:39:00 UTC,9.5,290,H
2015-01-17 03:24:00 UTC,-0.2,-6,L
2015-01-17 11:39:00 UTC,8.7,265,H
2015-01-17 15:21:00 UTC,6.8,207,L
2015-01-17 20:25:00 UTC,9.5,290,H
2015-01-18 04:06:00 UTC,-1.0,-30,L
2015-01-18 12:11:00 UTC,9.2,280,H
2015-01-18 16:17:00 UTC,6.8,207,L
2015-01-18 21:15:00 UTC,9.6,293,H
2015-01-19 04:48:00 UTC,-1.6,-49,L
2015-01-19 12:42:00 UTC,9.7,296,H
2015-01-19 17:08:00 UTC,6.6,201,L
2015-01-19 22:08:00 UTC,9.7,296,H
2015-01-20 05:31:00 UTC,-2.0,-61,L
