date,day,time,feet,centimeters,tide
2013/12/31,Tue,01:09 AM,7.9,241,H
2013/12/31,Tue,06:19 AM,2.6,79,L
2013/12/31,Tue,12:30 PM,11.5,351,H
2013/12/31,Tue,07:26 PM,-1.7,-52,L
2014/01/01,Wed,01:54 AM,8.6,262,H
2014/01/01,Wed,07:13 AM,2.1,64,L
2014/01/01,Wed,01:21 PM,11.8,360,H
2014/01/01,Wed,08:11 PM,-2.1,-64,L
2014/01/02,Thu,02:38 AM,9.1,277,H
2014/01/02,Thu,08:04 AM,1.8,55,L
2014/01/02,Thu,02:10 PM,11.7,357,H
2014/01/02,Thu,08:54 PM,-2.1,-64,L
2014/01/03,Fri,03:22 AM,9.4,287,H
2014/01/03,Fri,08:54 AM,1.6,49,L
2014/01/03,Fri,02:59 PM,11.4,347,H
2014/01/03,Fri,09:38 PM,-1.8,-55,L
2014/01/04,Sat,04:06 AM,9.5,290,H
2014/01/04,Sat,09:46 AM,1.5,46,L
2014/01/04,Sat,03:48 PM,10.7,326,H
2014/01/04,Sat,10:21 PM,-1.2,-37,L
2014/01/05,Sun,04:51 AM,9.6,293,H
2014/01/05,Sun,10:40 AM,1.6,49,L
2014/01/05,Sun,04:39 PM,9.7,296,H
2014/01/05,Sun,11:05 PM,-0.4,-12,L
2014/01/06,Mon,05:38 AM,9.5,290,H
2014/01/06,Mon,11:38 AM,1.8,55,L
2014/01/06,Mon,05:34 PM,8.6,262,H
2014/01/06,Mon,11:51 PM,0.5,15,L
2014/01/07,Tue,06:28 AM,9.4,287,H
2014/01/07,Tue,12:45 PM,2.0,61,L
2014/01/07,Tue,06:37 PM,7.5,229,H
2014/01/08,Wed,12:40 AM,1.5,46,L
2014/01/08,Wed,07:23 AM,9.2,280,H
2014/01/08,Wed,02:03 PM,2.1,64,L
2014/01/08,Wed,07:55 PM,6.7,204,H
2014/01/09,Thu,01:36 AM,2.4,73,L
2014/01/09,Thu,08:22 AM,9.1,277,H
2014/01/09,Thu,03:27 PM,1.9,58,L
2014/01/09,Thu,09:32 PM,6.3,192,H
2014/01/10,Fri,02:43 AM,3.1,94,L
2014/01/10,Fri,09:24 AM,9.1,277,H
2014/01/10,Fri,04:40 PM,1.5,46,L
2014/01/10,Fri,11:01 PM,6.4,195,H
2014/01/11,Sat,03:54 AM,3.5,107,L
2014/01/11,Sat,10:24 AM,9.3,283,H
2014/01/11,Sat,05:37 PM,1.0,30,L
2014/01/12,Sun,12:06 AM,6.8,207,H
2014/01/12,Sun,04:59 AM,3.6,110,L
2014/01/12,Sun,11:16 AM,9.5,290,H
2014/01/12,Sun,06:23 PM,0.6,18,L
2014/01/13,Mon,12:54 AM,7.3,223,H
2014/01/13,Mon,05:52 AM,3.5,107,L
2014/01/13,Mon,12:01 PM,9.7,296,H
2014/01/13,Mon,07:01 PM,0.2,6,L
2014/01/14,Tue,01:32 AM,7.6,232,H
2014/01/14,Tue,06:36 AM,3.3,101,L
2014/01/14,Tue,12:40 PM,10.0,305,H
2014/01/14,Tue,07:35 PM,-0.1,-3,L
2014/01/15,Wed,02:04 AM,7.9,241,H
2014/01/15,Wed,07:15 AM,3.0,91,L
2014/01/15,Wed,01:16 PM,10.1,308,H
2014/01/15,Wed,08:05 PM,-0.2,-6,L
2014/01/16,Thu,02:33 AM,8.2,250,H
2014/01/16,Thu,07:51 AM,2.8,85,L
2014/01/16,Thu,01:50 PM,10.1,308,H
2014/01/16,Thu,08:34 PM,-0.3,-9,L
2014/01/17,Fri,03:00 AM,8.4,256,H
2014/01/17,Fri,08:25 AM,2.6,79,L
2014/01/17,Fri,02:24 PM,10.0,305,H
2014/01/17,Fri,09:02 PM,-0.3,-9,L
2014/01/18,Sat,03:27 AM,8.5,259,H
2014/01/18,Sat,09:00 AM,2.5,76,L
2014/01/18,Sat,02:57 PM,9.7,296,H
2014/01/18,Sat,09:31 PM,-0.1,-3,L
2014/01/19,Sun,03:55 AM,8.7,265,H
2014/01/19,Sun,09:36 AM,2.4,73,L
2014/01/19,Sun,03:32 PM,9.3,283,H
2014/01/19,Sun,10:00 PM,0.2,6,L
2014/01/20,Mon,04:25 AM,8.7,265,H
2014/01/20,Mon,10:14 AM,2.4,73,L
2014/01/20,Mon,04:08 PM,8.8,268,H
2014/01/20,Mon,10:31 PM,0.6,18,L
2014/01/21,Tue,04:57 AM,8.8,268,H
2014/01/21,Tue,10:56 AM,2.4,73,L
2014/01/21,Tue,04:48 PM,8.1,247,H
2014/01/21,Tue,11:04 PM,1.1,34,L
2014/01/22,Wed,05:33 AM,8.8,268,H
2014/01/22,Wed,11:44 AM,2.4,73,L
2014/01/22,Wed,05:35 PM,7.4,226,H
2014/01/22,Wed,11:42 PM,1.7,52,L
2014/01/23,Thu,06:16 AM,8.8,268,H
2014/01/23,Thu,12:43 PM,2.4,73,L
2014/01/23,Thu,06:34 PM,6.7,204,H
2014/01/24,Fri,12:27 AM,2.4,73,L
2014/01/24,Fri,07:07 AM,8.9,271,H
2014/01/24,Fri,01:55 PM,2.1,64,L
2014/01/24,Fri,07:51 PM,6.1,186,H
2014/01/25,Sat,01:25 AM,2.9,88,L
2014/01/25,Sat,08:07 AM,9.1,277,H
2014/01/25,Sat,03:16 PM,1.6,49,L
2014/01/25,Sat,09:28 PM,6.0,183,H
2014/01/26,Sun,02:39 AM,3.3,101,L
2014/01/26,Sun,09:15 AM,9.4,287,H
2014/01/26,Sun,04:32 PM,0.8,24,L
2014/01/26,Sun,10:59 PM,6.5,198,H
2014/01/27,Mon,03:58 AM,3.2,98,L
2014/01/27,Mon,10:22 AM,9.9,302,H
2014/01/27,Mon,05:33 PM,-0.1,-3,L
2014/01/28,Tue,12:04 AM,7.2,219,H
2014/01/28,Tue,05:09 AM,2.8,85,L
2014/01/28,Tue,11:24 AM,10.5,320,H
2014/01/28,Tue,06:25 PM,-0.9,-27,L
2014/01/29,Wed,12:53 AM,7.9,241,H
2014/01/29,Wed,06:10 AM,2.2,67,L
2014/01/29,Wed,12:21 PM,11.0,335,H
2014/01/29,Wed,07:11 PM,-1.6,-49,L
2014/01/30,Thu,01:37 AM,8.7,265,H
2014/01/30,Thu,07:04 AM,1.6,49,L
2014/01/30,Thu,01:13 PM,11.4,347,H
2014/01/30,Thu,07:54 PM,-1.9,-58,L
2014/01/31,Fri,02:19 AM,9.3,283,H
2014/01/31,Fri,07:55 AM,1.0,30,L
2014/01/31,Fri,02:02 PM,11.4,347,H
2014/01/31,Fri,08:36 PM,-1.9,-58,L
2014/02/01,Sat,02:59 AM,9.8,299,H
2014/02/01,Sat,08:44 AM,0.6,18,L
2014/02/01,Sat,02:50 PM,11.0,335,H
2014/02/01,Sat,09:16 PM,-1.6,-49,L
2014/02/02,Sun,03:39 AM,10.1,308,H
2014/02/02,Sun,09:32 AM,0.5,15,L
2014/02/02,Sun,03:37 PM,10.4,317,H
2014/02/02,Sun,09:56 PM,-1.0,-30,L
2014/02/03,Mon,04:19 AM,10.1,308,H
2014/02/03,Mon,10:22 AM,0.6,18,L
2014/02/03,Mon,04:24 PM,9.4,287,H
2014/02/03,Mon,10:36 PM,-0.1,-3,L
2014/02/04,Tue,05:01 AM,9.9,302,H
2014/02/04,Tue,11:13 AM,0.9,27,L
